,SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,FullBath,TotRmsAbvGrd,YearBuilt
SalePrice,1,0.790981601,0.708624478,0.640409197,0.623431439,0.613580552,0.605852185,0.560663763,0.533723156,0.522897333
OverallQual,0.790981601,1,0.59300743,0.600670717,0.562021757,0.537808499,0.476223829,0.550599709,0.427452343,0.572322769
GrLivArea,0.708624478,0.59300743,1,0.467247419,0.468997477,0.454868203,0.566023969,0.630011646,0.825489374,0.199009714
GarageCars,0.640409197,0.600670717,0.467247419,1,0.882475414,0.434584834,0.439316808,0.469672043,0.362288571,0.537850092
GarageArea,0.623431439,0.562021757,0.468997477,0.882475414,1,0.486665464,0.489781654,0.405656208,0.337822121,0.47895382
TotalBsmtSF,0.613580552,0.537808499,0.454868203,0.434584834,0.486665464,1,0.819529975,0.323722414,0.285572564,0.391452002
1stFlrSF,0.605852185,0.476223829,0.566023969,0.439316808,0.489781654,0.819529975,1,0.380637495,0.409515979,0.281985859
FullBath,0.560663763,0.550599709,0.630011646,0.469672043,0.405656208,0.323722414,0.380637495,1,0.554784254,0.468270787
TotRmsAbvGrd,0.533723156,0.427452343,0.825489374,0.362288571,0.337822121,0.285572564,0.409515979,0.554784254,1,0.095589128
YearBuilt,0.522897333,0.572322769,0.199009714,0.537850092,0.47895382,0.391452002,0.281985859,0.468270787,0.095589128,1